序号,标题,价格,地点,想要人数,链接
1,称号绝不空耳听到没洛克王国世界音乐传说活动专属称号需要上号帮忙做，做完就立刻录屏退号，十多年老玩家手动做直接拍，看到了立马上号,¥1.66,,17人想要,https://www.goofish.com/item?id=1031439991427&categoryId=200928013
2,洛克王国世界新生S卡故乡的礼物开服必备道具兑换码激活，激活视频教程—————————————————————激活失败可全额退款—————————————————————游戏名称：洛克王国客户端全平台互通秒回,¥2.06,,47人想要,https://www.goofish.com/item?id=1034743090451&categoryId=200928013
3,暂时不接了，手上大家排完队会再开放好友每个月只能抓1只异色宝宝们自己号两只都有可直拍S1战令宠绒仙子极光千兽洛克王国世界战令宠物战令卡拼！我是个人玩家不是团，所以只要你想抓我可以把房间开给你你可以抓一辈子我挂后台就行=但是抓哪只请和我说一声我要换号！一定要预约时间现在买提前给你预约时间◍˃˂◍就能抓有问题随时问我，我第一天应该就到处肝图能开都去开，可以直接扩列当朋友和我一起玩（？）我很好说话˙˙只是3块钱，2只是5块钱（买了之后你进我世界抓几个都行刷到的稀有也是你自己的）预约规则是:当天你想来和我说当天如果有人就需要排队一下这个意思～如果单日排队满了可以直接和我约第二天来。你什么时候想抓的时候问我排期就好注意！我是单次世界只给一位客宝开放不会同时出现两个人一起抓抢异色的所以单次最多只开放2小时（应该是能刷到保底，具体的会再调整，反正时间够你刷到保底）然后下次进入再找我排队就好啦然后手游之前3测的规则是每人每个月只能在好友家里抓1只异色！多的抓不了啦,¥3,,,"https://www.goofish.com/item?id=1031703690548&categoryId=200928013"
4,洛克王国世界wegame预下载奖励领取四天全领 qv都可以上号四天全包版,¥5,,,"https://www.goofish.com/item?id=1036083117340&categoryId=202036001"
5,出洛克王国世界绝版摇号学号，虚拟服务，非实物，拍下发学号～虚拟商品，售出不退不换。有需要直接拍，细节私聊～,¥5,,2人想要,https://www.goofish.com/item?id=1031912958787&categoryId=202030604
6,洛克王国代肝，可直播不排队！探索主线等级传送点精灵王罗隐 [红旗]全程1对1服务，可随时汇报账号进度，可直播[闪亮]，包售后，老板玩可随时下号[1]基础套餐：等级1-40级通关到翼王+阶段性主线任务+所有传送点+收集图鉴除异色+一百眠枭之星+所有露天挑战[2]特价开荒套餐[火][火][火]：每日主线主剧情+人物等级40级+日常奖励+每日活动 +顺手解锁传送点+可直播 （帮你解决最费时间内容）[3]豪华套餐：开服预约等级1~50+全主线剧情+全传送+全图鉴+全宝箱+全眠枭+副本+40级手册+每日托管日常 （当自己号玩，每日会汇报账号进度，看直播随时可以查看）其他单项服务：主线剧情角色升级日常托管，包月托管传送点全包炼金炉全包精灵图鉴代开全收集眠枭之星单只精灵了不起天赋代肝洛克王国世界一切项目，买不买没关系，欢迎老板询价[超便宜][超便宜]#游戏代练 #洛克王国世界,¥1,,,"https://www.goofish.com/item?id=1034887178584&categoryId=201403106"
7,洛克王国世界神奇咕噜球魔法箱洛克王国世界邀请好友下载助力活动拍一邀一，拉满奖励活动期间完成，安全靠谱虚拟商品，售出不退只接q区,¥1.70,,7人想要,https://www.goofish.com/item?id=1035918321370&categoryId=202036001
8,洛克王国世界老朋友火花精灵奖牌专属称号拍下发领取链接➕发出不退不换感兴趣的话点“我想要”和我私聊吧～,¥3.88,,5人想要,https://www.goofish.com/item?id=1035756601707&categoryId=200928013
9,【自动发货】洛克王国世界专属学号｜官方渠道抽中虚拟道具，账号安全，全平台互通，拍下秒发，直接用～喜欢直接拍，价格可聊，细节私聊！,¥5,,104人想要,https://www.goofish.com/item?id=1034791509377&categoryId=200928013
10,洛克王国世界内测专属精灵三种鸭急急精灵起来鸭、等等鸭、急急鸭每种5r（可抓两只，一公一母）鸭吉吉套餐三种鸭共13.45虚拟商品，直接游戏内发放需要直接拍,¥5,,9人想要,https://www.goofish.com/item?id=1034238735974&categoryId=201409706
11,洛克王国世界代邀请好友预下载，拿神奇咕噜球魔法箱活动，拍下发邀请链接，拍一邀一。各种渠道的都可以 wegame QQ官网哔哩哔哩都可以微信游戏中心的不接,¥5/¥9,,,"https://www.goofish.com/item?id=1036673076477&categoryId=202036001"
12,【洛克王国世界】战令宠物绒仙子+疾光千兽标价接，提前加好友位（随便刷异色）全平台互通，虚拟道具，游戏内直接赠送下单备注加好友,¥3,,,"https://www.goofish.com/item?id=793648614419&categoryId=200928013"
13,Q区洛克王国世界咕噜球魔法箱 Q区洛克王国世界神奇咕噜球魔法箱洛克王国世界邀请好友下载助力活动1️即卖价，急单不接，拍下后截图发货。2️商品，售出不退不换。3️一邀一，拉满奖励，活动期间完成，安全靠谱。,¥1.80,,2人想要,https://www.goofish.com/item?id=1034500599112&categoryId=202030604
14,洛克王国豪华战令拼卡，出副卡互选精灵我拿千兽可以加好友大世界串门互抓(需要加好友48h后才能赠送，介意开服第一天领不了的别来）虚拟道具，游戏内赠送售出后不退不换,¥100/¥128,,,"https://www.goofish.com/item?id=1034601063739&categoryId=200928013"
15,洛克王国世界兑换码礼包码 ISO专属兑换码，安卓不可用正式上线后，在iOS端注册的玩家可前往游戏内输入口令码领取礼包，内含[洛克贝]8888个、[高级咕噜球]10个、[可可果]5个。虚拟物品，售出不退不换，理性下单,¥6.66,,,"https://www.goofish.com/item?id=1032683460638&categoryId=200928013"
16,洛克王国世界精灵奖牌+专属称号10年小洛克老朋友水蓝蓝生日2015-05-30,¥19.90,,,"https://www.goofish.com/item?id=1034604963741&categoryId=200928013"
17,洛克王国异色S1奇遇限定精灵首版本3.26--5.20 :18.88一只随机28.88一只指定（歪的送[钉子]刷异色、好友位蹲精灵私聊洛克王国世界洛克王国世界异色,¥18.88,,8人想要,https://www.goofish.com/item?id=1035472477764&categoryId=200928013
18,洛克王国世界典藏赛季徽章礼盒互换此徽章礼盒需要游戏内基础通行证（不用氪版本）到达十级后获得购买资格且只能购买其中一款最多购买两件即要想获得另一款需要开两个号或者与他人互换等一个互换到时候互拍链接运费顺丰到付,¥78,,,"https://www.goofish.com/item?id=1034601467399&categoryId=200928013"
19,【洛克王国】WeGame奖励代领洛克王国世界做好入学装备抽好礼WeGame代抽奖概率得通行证和高级咕噜球等需要的dd我洛克王国专属服务，安全靠谱，效率高！有需要的直接私聊，细节可聊，欢迎咨询～,¥1,,,"https://www.goofish.com/item?id=1034592579859&categoryId=202036001"
20,洛克王国世界 wegame预下载代抽奖，全天都在，随时上号 Q微区都可以上号感兴趣的话点“我想要”和我私聊吧～,¥3,,6人想要,https://www.goofish.com/item?id=1035128006993&categoryId=201409706
21,洛克王国世界代肝价格可议套餐一：1-40级+40级相关剧情做完+翼王+龙息帕尔+提升精灵等级+部分精灵图鉴+清体力+材料收集+大部分传送点炼金台258套餐二：1-40级+40级相关剧情做完+传送点炼金台全开+提升精灵等级+翼王宠+龙息帕尔宠+罗隐宠+大部分精灵图鉴+清体力+材料收集=299套餐三：1-40级以上+40级相关剧情做完+全传送点+全炼金台+送翼王+送龙息帕尔+送罗隐+提升精灵等级+大部分宠物图鉴+材料收集+清体力+全眠枭之星=666（以上订单都会完成日常）,¥258,,,"https://www.goofish.com/item?id=1035300866325&categoryId=200928013"
22,洛克王国：世界故乡的礼物活动 [新生SIM佧开服后赠送虚拟道具，无需邮寄直接发游戏内拍下联系我，细节可聊售出不退不换,¥20,,69人想要,https://www.goofish.com/item?id=1033596231434&categoryId=200928013
23,哔哩哔哩洛克王国世界哔哩哔哩洛克王国预约邀请（不接抢学号）拍一邀一每天上限5人3张同级卡牌可以合成高一级的卡牌。拍下发邀请链接,¥1,,,"https://www.goofish.com/item?id=1010796452318&categoryId=202030604"
24,【洛克王国世界】战令宠物绒仙子+疾光千兽标价接，提前加好友位，随便刷异色全平台互通，虚拟道具，游戏内直接赠送下单备注加好友疾光千兽,¥1,,,"https://www.goofish.com/item?id=1033405205271&categoryId=200928013"
25,【洛克王国世界神奇咕噜球魔法箱邀请好友组队】✔虚拟道具，活动专属，邀请好友组队可得✔拍下直接发邀请链接，无需下载软件，支持模拟器，虚拟定位，游戏内领取✔数量有限，先到先得，虚拟商品售出不退不换，拍下默认成年✔有问题随时私聊,¥1.50,,20人想要,https://www.goofish.com/item?id=1034657626992&categoryId=200928013
26,洛克王国sin卡，故乡的礼物，页游本人已登记完毕。标价第一批名额加急价，加急要的老板可标价拍，活动一出就传也可26号来蹲第二批（价会比这个低）按拍下顺序加好友录屏截图发货，游戏虚拟道具售出不退（信用极好，非诚勿扰，赚个通行证的钱）拍下可免费来我世界抓三测绝版鸭吉吉和通行证宠物,¥52/¥188,,,"https://www.goofish.com/item?id=1035119420024&categoryId=200928013"
27,【洛克王国世界】全网最全攻略，永久包更新！所有主播攻略都有！一个月更新一次！公测全网首发，不定时更新，内容超全，新手老玩家都能用！购买攻略可进交流群，群内百人都是有搬砖经验的大佬，后续更新游戏辅助，抢先测试任务、剧情、活动、抓宠、打boss全都有，账号安全，放心用！虚拟商品，直接发，喜欢直接拍，随时聊～,¥2.88,,2人想要,https://www.goofish.com/item?id=1034809138860&categoryId=202036001
28,洛克王国世界 ISO专属兑换码正式上线后，在iOS端注册的玩家可前往游戏内输入口令码领取礼包，内含[洛克贝]8888个、[高级咕噜球]10个、可可果]5个。虚拟物品，售出不退不换，理性下单,¥3,,,"https://www.goofish.com/item?id=1034718982413&categoryId=200928013"
